"Story","Title","Result","Date","Stability","Duration (s)"
"Compra Contra Entrega PDR","Compra contra entrega usuario aliada con voucher <vocher>","SUCCESS","2018-10-08T13:39:58.232-05:00[America/Bogota]","0.0","900.41"
"Compra Contra Entrega PDR","Compra contra entrega usuario normal caso no feliz municipio sin contra entrega","SUCCESS","2018-10-08T16:28:57.202-05:00[America/Bogota]","0.0","263.5"
"Compra Contra Entrega PDR","Compra contra entrega usuario aliada caso no feliz municipio sin contra entrega con vaucher","SUCCESS","2018-10-08T16:33:20.708-05:00[America/Bogota]","0.0","147.5"
"Compra Contra Entrega PDR","Compra contra entrega usuario aliada caso no feliz municipio sin contra entrega","SUCCESS","2018-10-08T16:35:48.209-05:00[America/Bogota]","0.0","142.02"
"Compra Contra Entrega PDR","Compra contra entrega usuario normal caso no feliz","SUCCESS","2018-10-08T16:38:10.227-05:00[America/Bogota]","0.0","491.85"
"Compra Contra Entrega PDR","Compra contra entrega usuario normal","SUCCESS","2018-10-09T08:44:18.705-05:00[America/Bogota]","0.0","566.51"
"Compra Contra Entrega PDR","Compra contra entrega usuario normal caso no feliz municipio sin contra entrega con vaucher","SUCCESS","2018-10-09T08:53:45.213-05:00[America/Bogota]","0.0","279.77"
"Compra Contra Entrega PDR","Compra contra entrega usuario aliada caso no feliz","SUCCESS","2018-10-09T09:06:37.151-05:00[America/Bogota]","0.0","558.3"
"Compras en efectivo PDR","Compra efectivo usuario <usuario> forma <forma>","SUCCESS","2018-10-11T14:21:24.862-05:00[America/Bogota]","0.0","986.33"
"Compras en efectivo PDR","Compra efectivo usuario normal Baloto con descuento fijo","SUCCESS","2018-10-11T14:37:51.2-05:00[America/Bogota]","0.0","211.77"
"Compras en efectivo PDR","Store Credit Mayor Compra usuario <usuario> verifica pasarela","SUCCESS","2018-10-11T14:57:29.089-05:00[America/Bogota]","0.0","655.9"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal","SUCCESS","2018-10-11T09:33:09.355-05:00[America/Bogota]","0.0","550.93"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal con voucher <vocher>","FAILURE","2018-10-11T09:54:12.494-05:00[America/Bogota]","0.0","528.61"
